"match","Hallo,

Ich freue mich das wir einen MAtch haben. Das heisst irgendetwas muss dir an meinem Profil gefallen haben. Oder hast du nur versehendlich geklickt :D","Lovoo match"
"kinder","Ich habe 2 Kinder. Eine Tochter (19) und einen Sohn (17), die beide nicht bei mir leben und die ich leier schon lange nicht mehr gesehen habe.","Meine Kinder"
"sylvester","Ich habe das JAhr mit einer Tasse Kaffee und Netflix begonnen. Ich habe nicht so viel an Sylvester.","Sylvester"
"wsd","Was suchst du hier bei Lovoo?","Was suchst du"
"sws","Welchen Stellenwert hat denn für dich Sex in einer Beziehung? Und noch wichtiger: redest du über das Thme innerhalb einer Beziehung offen? Ich frage deshalb, weil ich die Erfahrung gemacht habe, dass wenn man nciht darüber redet, es sehr belastend sein kann. Denn Sex ist mir schon wichtig. Nicht unbedingt top Thema, aber schon recht weit oben.","Stellenwert Sex in Beziehung"
"sexwichtig","Sex ist mir schon wichtig. Nicht unbedingt top Thema, aber schon recht weit oben.","Sex wichtig"
"unanstandig","So, ich muss jetzt mal eben unanständig werden. Das brauche ich heute. ;D","Unanständig werden"
"singleseit","Ich bin seit 2015 Single. Ich hatte seither auch keinerlei Affären oder Dergleichen.","Single seit 2015"
"singleplattformen","Zwischenzeitlich war ich dann auf Facebook und anderen Singelplattformen (auch kostenpflichtige) unterwegs. Leider erfolglos. Ich habe mich mit 3 Frauen getroffen. Bei zeien war ich wohl nicht der Richtige und eine wohnte nich bei ihrem Ex.","Singleplattformen"
"arbeitszeiten","Ich arbeite immer nur Nachmittags. Macht es mit dem Kennenlernen von Frauen auch nicht gerade einfacher.","Meine Arbeitszeiten"
"job","Ich bin KEP-Disponent (KEP = Kurier-, Express & Paketdienst).","Job"
"wls","Wie lange bist du Single?","Wie lange Single?"
"fake","Fakeprofile und Scammer werden von mir grundsätzlich gemeldet und unmatched. Bye Bye 👋🏻","Scammer "
